2018-03-21 11:19:06,720 [Worker-25] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/detro/phantomjsdriver/${ghostdriver.version}/phantomjsdriver-${ghostdriver.version}.pom
2018-03-21 11:19:06,731 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.github.detro:phantomjsdriver:jar:${ghostdriver.version} is missing, no dependency information available
2018-03-21 11:19:06,801 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/detro/phantomjsdriver/${ghostdriver.version}/phantomjsdriver-${ghostdriver.version}.pom
2018-03-21 11:19:06,807 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.github.detro:phantomjsdriver:jar:${ghostdriver.version} is missing, no dependency information available
2018-03-21 11:19:07,097 [Worker-25] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/detro/phantomjsdriver/${ghostdriver.version}/phantomjsdriver-${ghostdriver.version}.jar
2018-03-21 11:19:07,097 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/detro/phantomjsdriver/${ghostdriver.version}/phantomjsdriver-${ghostdriver.version}.jar
2018-03-21 11:19:07,445 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:19:07,448 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:19:07,450 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:19:07,452 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:21:41,087 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PhantomjsTest:PhabtomjsTest:0.0.1-SNAPSHOT @ C:\Users\anna.zhuravleva\Documents\Alrquitectura\mavenSeleniumPhantomjs\PhabtomjsTest\pom.xml.
2018-03-21 11:21:41,539 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:21:41,542 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:21:41,545 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:21:41,547 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:21:43,310 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:21:43,312 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:21:43,314 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:21:43,316 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:25:09,002 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PhantomjsTest:PhabtomjsTest:0.0.1-SNAPSHOT @ C:\Users\anna.zhuravleva\Documents\Alrquitectura\mavenSeleniumPhantomjs\PhabtomjsTest\pom.xml.
2018-03-21 11:25:10,087 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:25:10,092 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:25:10,094 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:25:10,097 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:27:01,366 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PhantomjsTest:PhabtomjsTest:0.0.1-SNAPSHOT @ C:\Users\anna.zhuravleva\Documents\Alrquitectura\mavenSeleniumPhantomjs\PhabtomjsTest\pom.xml.
2018-03-21 11:27:01,953 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:27:01,960 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:27:01,963 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-21 11:27:01,967 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-21 11:27:05,814 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
